Firmware,Interface,Engine,TMAP_V,AvgIgn,DWP,MethTriggerMode,FF,MethSafeMode,MethAdd,MethScale,MethPSI,VIN,E85_Setup,VFF_Offset,,fuel_30,fuel_35,fuel_40,fuel_45,fuel_50,fuel_55,fuel_60,fuel_65,fuel_70
21/13//5,JB4 Android A328,OBDII / All Other,1.63,0.0,0,0,0,1,25,90,3.0,5LC9J6023377,NONE,150,,90,90,90,90,90,90,90,90,90
BoostSafety,PID Gain,AutoShiftRed,Fuel_OL,FUA,1st_limiter,2nd_limiter,3rd_limiter,Options,N20_TMAP,6CylMode,LastSafety,,duty_15,duty_20,duty_25,duty_30,duty_35,duty_40,duty_45,duty_50,duty_55,duty_60,duty_65,duty_70
25.0,0,0,0,0,0.0,0.0,0.0,0_6_7_ON,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
timestamp,rpm,ecu_psi,target,boost,pedal,iat,fuelen,wgdc,throttle,fp_h,ign_1,avg_ign,calc_torque,trims,dme_bt,meth,fp_l,afr,gear,ff,load,clock,map,afr2,ign_2,ign_3,ign_4,ign_5,ign_6,oilf,waterf,transf,e85,boost2,trims2,mph
0.00,1874,2.1,0.0,1.3,100,75,0,0,78,11,14.0,6.8,0,33.0,0.0,0,0,13.8,2,0,14.0,5,6,13.7,15.8,17.3,15.8,17.3,15.8,0,150,73,0,1.4,33.0,22
3.50,2302,2.8,0.0,2.0,100,75,0,0,83,11,11.5,6.5,0,34.0,0.0,0,0,13.8,2,0,14.0,5,6,13.7,12.0,12.8,12.0,12.8,12.0,0,150,73,0,2.0,33.0,22
5.25,2763,8.6,0.0,6.2,100,75,0,0,89,11,11.5,5.6,0,30.0,0.0,0,0,13.0,2,0,13.6,5,6,13.1,12.0,12.8,12.0,12.8,12.0,0,150,73,0,6.2,32.0,24
7.75,3072,15.0,0.0,11.2,100,75,0,0,94,11,6.0,4.3,0,31.0,0.0,0,0,13.0,2,0,13.6,5,6,13.1,7.5,7.5,7.5,7.5,7.5,0,150,73,0,11.4,32.0,24
8.75,3289,17.5,0.0,14.2,100,75,0,0,94,11,3.5,4.0,0,31.0,0.0,0,0,12.7,2,0,13.4,5,6,12.8,7.5,7.5,7.5,7.5,7.5,0,150,73,0,14.2,33.0,26
11.00,3602,17.6,0.0,17.0,100,75,0,0,96,11,4.0,4.0,0,33.0,0.0,0,0,12.6,2,0,13.2,5,6,12.4,4.5,5.3,3.0,3.8,4.5,0,150,73,0,16.9,33.0,28
13.00,3878,17.2,0.0,17.5,100,75,0,0,98,11,6.5,4.1,0,33.0,0.0,0,0,12.1,2,0,13.0,5,6,12.0,4.5,5.3,3.0,3.8,4.5,0,150,73,0,17.3,32.0,32
14.75,4199,18.0,0.0,17.6,100,75,0,0,98,11,8.5,4.1,0,33.0,0.0,0,0,12.0,2,0,12.8,5,6,11.9,8.3,9.0,6.8,7.5,8.3,0,150,71,0,17.5,32.0,33
15.25,4313,17.7,0.0,17.3,100,75,0,0,99,11,9.5,4.0,0,31.0,0.0,0,0,11.9,2,0,12.6,6,6,11.8,8.3,9.0,6.8,7.5,8.3,0,150,71,0,17.5,31.0,36
19.25,4695,17.8,0.0,17.3,100,75,0,0,99,11,10.5,4.2,0,30.0,0.0,0,0,11.9,2,0,12.5,6,6,11.9,10.5,10.5,9.0,10.5,10.5,0,150,71,0,17.5,31.0,38
20.50,4913,16.9,0.0,16.9,100,75,0,0,99,11,11.5,4.2,0,30.0,0.0,0,0,11.9,2,0,12.4,6,6,11.7,10.5,10.5,9.0,10.5,10.5,0,152,71,0,16.5,29.0,41
22.50,5192,16.6,0.0,16.6,100,75,0,0,99,11,11.5,4.3,0,30.0,0.0,0,0,12.0,2,0,12.3,6,6,11.8,12.0,12.0,9.8,12.0,11.3,0,152,71,0,16.2,29.0,43
24.25,5378,15.7,0.0,16.0,100,75,0,0,99,11,12.0,4.0,0,27.0,0.0,0,0,11.8,2,0,12.2,6,6,11.7,12.0,12.0,9.8,12.0,11.3,0,152,71,0,15.3,27.0,46
26.75,5684,14.9,0.0,15.5,100,75,0,0,99,11,12.5,4.4,0,27.0,0.0,0,0,11.9,2,0,12.1,4,6,12.0,12.8,12.8,11.3,12.8,12.8,0,152,71,0,15.0,27.0,47
28.75,5847,14.8,0.0,15.3,100,75,0,0,99,12,13.5,4.5,0,28.0,0.0,0,0,12.0,2,0,12.1,4,6,12.1,12.8,12.8,11.3,12.8,12.8,0,152,71,0,14.8,27.0,50
