Module::CONTROL MODE,Module::ENGINE SPEED,Module::ENGINE STATUS,Module::BOOST,Module::MAP,Module::RPS,Methane Pump Status,Boost Over Pressure State,Engine Speed,Coolant Temperature,Fuel Trim Correction(B1),Fuel Trim Correction(B2),Vehicle Speed,Spark Timing,Intake Manifold Temperature,Throttle Valve Position,Intake Manifold Pressure,Accel. Pedal Position,Ambient Pressure,AirFuel Ratio(B1),AirFuel Ratio(B2),Exhaust Gas Temperature(B1),Exhaust Gas Temperature(B2),Target Air Fuel Ratio,Fuel Rail Pressure,Airflow,Spark Timing #1,Spark Timing #2,Spark Timing #3,Spark Timing #4,Spark Timing #5,Spark Timing #6,Engine Status,Engine Oil Temperature,Transmission Oil Temperature,Abs Engine Load,Calc.Engine Load,Knock Detect,Knock Retard Cyl. #1,Knock Retard Cyl. #2,Knock Retard Cyl. #3,Knock Retard Cyl. #4,Knock Retard Cyl. #5,Knock Retard Cyl. #6,Speed Out Limited,Motor Current Avg.,PWM Ducy

ᴹMODE,ᴹE/SPEED,ᴹE/STATE,ᴹBOOST,ᴹMAP,ᴹRPS,METH_STATUS,BOOST_OVER,E/SPEED,CLT,FTRM_B1,FTRM_B2,V/SPEED,S/TIMING,IAT,TPS,MAP,APS,BARO,AFR_B1,AFR_B2,EX/GAS_B1,EX/GAS_B2,AFR_CMD,FRP,AIRFLOW,S/TIMING_1,S/TIMING_2,S/TIMING_3,S/TIMING_4,S/TIMING_5,S/TIMING_6,E/STATE,EOT,TOT,E/LOAD_A,E/LOAD_C,KNK_D,KNK_1,KNK_2,KNK_3,KNK_4,KNK_5,KNK_6,SPEED/LTD,C_AVG,P_DUTY

-,rpm,-,bar,bar,V,-,-,rpm,℃,%,%,km/h,ca,℃,%,bar,%,bar,-,-,℃,℃,-,bar,mg/s,ca,ca,ca,ca,ca,ca,-,℃,℃,%,%,-,ca,ca,ca,ca,ca,ca,-,A,%

4,2762.00,3,0.76,0.78,0.00,1,0,2715,102,6,7,36,10.50,40,78,1,83,1,14.49,14.91,647,643,14.37,142,1021,14.98,15.73,14.98,15.73,14.98,15.73,3,96,74,127,36,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,14.00

4,2995.00,3,1.02,1.03,0.00,1,0,2715,102,21,21,36,10.50,40,78,1,83,1,15.48,15.46,655,653,14.37,142,1021,14.98,15.73,14.98,15.73,14.98,15.73,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,2.00,26.00

4,3238.00,3,1.27,1.29,0.00,1,0,2715,102,21,21,36,10.50,40,78,1,83,1,15.48,15.46,655,653,14.37,142,1106,14.98,15.73,14.98,15.73,14.98,15.73,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,45.00

4,3543.00,3,1.28,1.30,0.00,1,0,2715,102,21,21,36,10.50,40,78,1,83,1,15.48,15.46,655,653,14.37,142,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,52.00

4,3820.00,3,1.28,1.31,0.00,1,0,2715,102,21,21,36,10.50,40,78,1,83,1,15.48,15.46,655,653,14.37,142,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,62.00

4,4063.00,3,1.31,1.33,0.00,1,0,2715,102,21,21,36,10.50,40,78,1,83,1,15.48,15.46,655,653,14.37,142,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,5.00,65.00

4,4341.00,3,1.28,1.30,0.00,1,0,4457,102,21,21,36,12.00,40,87,1,83,1,15.48,15.46,655,653,14.37,143,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,234,74,0,0.00,0.00,0.00,0.00,0.00,0.00,0,5.00,70.00

4,4631.00,3,1.32,1.33,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.17,11.89,666,665,12.15,143,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,74.00

4,4877.00,3,1.25,1.26,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.21,11.92,666,665,12.15,143,1106,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,75.00

4,5088.00,3,1.24,1.26,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.26,11.97,666,665,12.15,143,1081,8.98,8.98,8.98,8.98,8.98,8.98,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,5286.00,3,1.21,1.20,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.28,12.00,666,665,12.15,143,1081,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,5482.00,3,1.18,1.22,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.32,12.04,666,665,12.15,143,1081,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,5656.00,3,1.22,1.20,0.00,1,0,4457,102,42,42,61,12.00,39,87,1,83,1,12.34,12.05,666,665,12.15,143,1081,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,8.00,78.00

4,5845.00,3,1.18,1.21,0.00,1,0,5765,102,42,42,83,15.50,39,87,1,83,1,12.37,12.08,666,665,11.48,145,1081,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,272,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,8.00,79.00

4,6016.00,3,1.18,1.20,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.06,10.99,705,704,11.48,145,1081,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,8.00,79.00

4,6319.00,3,0.97,0.99,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.20,11.13,705,704,11.48,145,886,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

